run_id,horizon,target_metric,feature_set,candidate_set,n_series,n_features,n_models,feature_columns_json,model_order_json
meta_modeling_experiments_v1_20260331T185531Z,20,directional_accuracy,full_features,top_4,100,25,4,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_esn"", ""chaotic_logistic_net"", ""esn"", ""transient_chaotic_esn""]"
meta_modeling_experiments_v1_20260331T185531Z,20,directional_accuracy,full_features,top_6,100,25,6,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_mlp"", ""esn"", ""ridge_lag"", ""transient_chaotic_esn""]"
meta_modeling_experiments_v1_20260331T185531Z,1,rmse,pruned_features,top_4,100,25,4,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_esn"", ""esn"", ""ridge_lag"", ""transient_chaotic_esn""]"
meta_modeling_experiments_v1_20260331T185531Z,1,rmse,pruned_features,top_6,100,25,6,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_esn"", ""chaotic_lstm_forecast"", ""esn"", ""lstm_forecast"", ""ridge_lag"", ""transient_chaotic_esn""]"
meta_modeling_experiments_v1_20260331T185531Z,1,directional_accuracy,pruned_features,top_4,100,25,4,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_esn"", ""esn"", ""ridge_lag"", ""transient_chaotic_esn""]"
meta_modeling_experiments_v1_20260331T185531Z,1,directional_accuracy,pruned_features,top_6,100,25,6,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_esn"", ""chaotic_lstm_forecast"", ""esn"", ""lstm_forecast"", ""ridge_lag"", ""transient_chaotic_esn""]"
meta_modeling_experiments_v1_20260331T185531Z,5,rmse,pruned_features,top_4,100,25,4,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_lstm_forecast"", ""lstm_forecast"", ""naive_mean"", ""naive_zero""]"
meta_modeling_experiments_v1_20260331T185531Z,5,rmse,pruned_features,top_6,100,25,6,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_lstm_forecast"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag""]"
meta_modeling_experiments_v1_20260331T185531Z,5,directional_accuracy,pruned_features,top_4,100,25,4,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_esn"", ""esn"", ""ridge_lag"", ""transient_chaotic_esn""]"
meta_modeling_experiments_v1_20260331T185531Z,5,directional_accuracy,pruned_features,top_6,100,25,6,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_esn"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""ridge_lag"", ""transient_chaotic_esn""]"
meta_modeling_experiments_v1_20260331T185531Z,20,rmse,pruned_features,top_4,100,25,4,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_lstm_forecast"", ""lstm_forecast"", ""naive_mean"", ""naive_zero""]"
meta_modeling_experiments_v1_20260331T185531Z,20,rmse,pruned_features,top_6,100,25,6,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_lstm_forecast"", ""chaotic_mlp"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""vanilla_mlp""]"
meta_modeling_experiments_v1_20260331T185531Z,20,directional_accuracy,pruned_features,top_4,100,25,4,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_esn"", ""chaotic_logistic_net"", ""esn"", ""transient_chaotic_esn""]"
meta_modeling_experiments_v1_20260331T185531Z,20,directional_accuracy,pruned_features,top_6,100,25,6,"[""hurst_rs"", ""hurst_dfa"", ""acf_lag_2"", ""acf_lag_5"", ""acf_lag_10"", ""acf_lag_25"", ""acf_lag_50"", ""acf_lag_100"", ""abs_acf_lag_2"", ""abs_acf_lag_5"", ""abs_acf_lag_10"", ""abs_acf_lag_25"", ""abs_acf_lag_50"", ""vr_q10"", ""lb_ret_stat_50"", ""lz_complexity"", ""permutation_entropy"", ""spectral_flatness"", ""kurtosis"", ""robust_kurtosis"", ""tail_ratio_upper"", ""hill_tail_index"", ""correlation_dimension"", ""embedding_dimension"", ""selected_delay_tau""]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_mlp"", ""esn"", ""ridge_lag"", ""transient_chaotic_esn""]"
